City,County
Centralia,Lewis
Chehalis,Lewis
Moses Lake,Grant
Yakima,Yakima
Bellingham,Whatcom
Mount Vernon,Skagit
Sequim,Clallam
Enumclaw,King
Omak,Okanogan
Shoreline,King
Tukwila,King
Spokane Valley,Spokane
spokane Valley,Spokane
Arlington,Snohomish
Auburn,King
Bellevue,King
Burien,King
Edmonds,Snohomish
Everett,Snohomish
Federal Way,King
Gig Harbor,Pierce
Issaquah,King
Kirkland,King
Lakewood,Pierce
Lynnwood,Snohomish
Mercer Island,King
Mountlake Terrace,Snohomish
Poulsbo,Kitsap
Puyallup,Pierce
Redmond,King
Renton,King
Seattle,King
Silverdale,Kitsap
Tacoma,Pierce
Lacey,Thurston
Olympia,Thurston
Clarkston,Asotin
Walla Walla,Walla Walla
Longview,Cowlitz
Vancouver,Clark
Spokane,Spokane
Kennewick,Benton
Richland,Benton
