Name,City,State,OwnerType,Owner,Operator,Specialty,Region,Website,Notes
First Hill Surgery Center,Seattle,WA,Physician-owned / independent,First Hill Surgery Center,Likely internal,Multi-specialty,Puget Sound,https://www.firsthillsurgerycenter.com,Independent Seattle ASC with broad outpatient procedural mix
Seattle Surgery Center,Seattle,WA,Physician-owned / independent,Seattle Surgery Center,Likely internal,Multi-specialty,Puget Sound,https://seattlesurgerycenter.com,Established Seattle outpatient surgery center
Proliance Center for Specialty Surgery,Seattle,WA,Physician group,Proliance Surgeons,Likely Proliance/internal,Ortho/Spine,Puget Sound,https://proliancesurgeons.com,Part of broader Proliance outpatient ecosystem
Proliance Seattle Orthopedic Center ASC,Seattle,WA,Physician group,Proliance Surgeons,Likely Proliance/internal,Orthopedics,Puget Sound,https://proliancesurgeons.com,Orthopedic-focused ASC tied to Proliance
Proliance Surgery Center at Valley,Renton,WA,Joint venture,Proliance Surgeons / Valley Medical Center,Likely JV/internal,Orthopedics,Puget Sound,https://www.prolianceorthopedicassociates.com/services/surgery-center,Example of physician-health system partnership structure
Proliance Eastside Surgery Center,Kirkland,WA,Physician group,Proliance Surgeons,Likely Proliance/internal,Multi-specialty,Puget Sound,https://proliancesurgeons.com,Eastside suburban outpatient presence
Proliance Highlands Surgery Center,Issaquah,WA,Physician group,Proliance Surgeons,Likely Proliance/internal,Multi-specialty,Puget Sound,https://proliancesurgeons.com,Affluent suburban Eastside corridor exposure
Proliance Center for Outpatient Spine & Joint Surgery,Mountlake Terrace,WA,Physician group,Proliance Surgeons,Likely Proliance/internal,Spine/Joint,Puget Sound,https://proliancesurgeons.com,Higher-acuity outpatient musculoskeletal positioning
Eastside Surgery Center,Issaquah,WA,Independent / physician-affiliated,Unknown,Unknown,Multi-specialty,Puget Sound,https://www.eastsidesurgerycenter.com,Eastside ASC serving suburban procedural demand
Carillon Point Surgery Center,Kirkland,WA,Independent / physician-affiliated,Unknown,Unknown,Multi-specialty,Puget Sound,https://www.carillonpointsurgerycenter.com,Kirkland waterfront ASC location
Evergreen Endoscopy Center,Kirkland,WA,Physician-affiliated,Gastro Health,Gastro Health,GI/Endoscopy,Puget Sound,https://gastrohealth.com,GI-focused procedural center with high-throughput potential
Peninsula Endoscopy Center,Gig Harbor,WA,Physician-affiliated,Washington Gastroenterology,Likely internal,GI/Endoscopy,Puget Sound,https://www.washgi.com,Regional GI procedural presence
Eastside Endoscopy Bellevue,Bellevue,WA,Physician-affiliated,Washington Gastroenterology,Likely internal,GI/Endoscopy,Puget Sound,https://www.washgi.com,Bellevue GI concentration in affluent commercial corridor
Retina Surgery Center,Bellevue,WA,Physician-affiliated,Pacific Northwest Retina,Likely internal,Retina/Ophthalmology,Puget Sound,https://www.pnwretina.com,Specialty ophthalmic outpatient focus
Providence Ambulatory Surgery Center Spokane Valley,Spokane Valley,WA,Health system,Providence,Providence/internal,Multi-specialty,Spokane,https://www.providence.org,Health-system anchored eastern WA presence
Southwest Washington Regional Surgery Center,Vancouver,WA,Health system affiliated,PeaceHealth,PeaceHealth/internal,Multi-specialty,Southwest WA,https://www.peacehealth.org,Regional health-system outpatient infrastructure
Cascade Outpatient Spine Center,Bellingham,WA,Physician-affiliated,Cascade Brain & Spine,Likely internal,Spine,Northwest WA,https://www.cascadebrainandspine.com,Spine-focused outpatient positioning
Bellingham Ambulatory Surgery Center,Bellingham,WA,National operator affiliated,Unknown,Surgery Partners,Multi-specialty,Northwest WA,https://www.surgerypartners.com,Example of national ASC operator penetration
Kaiser Permanente Bellevue ASC,Bellevue,WA,Integrated health system,Kaiser Permanente,Kaiser Permanente,Multi-specialty,Puget Sound,https://healthy.kaiserpermanente.org/washington,Closed-loop integrated care model
Virginia Mason Bellevue Medical Center ASC,Bellevue,WA,Health system,Virginia Mason Franciscan Health,VMFH/internal,Multi-specialty,Puget Sound,https://www.vmfh.org,Major regional health-system outpatient presence
